태풍, 산들바람
자정, 정오
9시 뉴스, 만화 영화
평화, 전쟁
짜장, 짬뽕
육식맨, 스님
원자력 발전소, 풍차
프렌치 프라이, 매쉬드 포테이토
고기, 빵
토끼, 거북이
보드게임, 비디오게임
고양이, 개
사과, 양파
지구 연방군, 슈퍼 히어로
계획구매, 충동구매
스타크래프트, 슈퍼마리오
소스, 육즙
힙합, 헤비메탈
어린이, 어른
영화, 연극
그림, 사진
하늘, 땅
밥, 면
자동차, 오토바이
산, 바다
올림픽, 월드컵
해, 달
커피, 차
낮, 밤
비, 눈
여름, 겨울
산책, 운동
책, 영화
강, 바다
도시, 시골
집, 회사
햇빛, 그늘
펜, 연필
지하철, 버스
물, 불
웃음, 눈물
왼쪽, 오른쪽
젊음, 노년
건강, 병
서점, 도서관
하이힐, 운동화
냉장고, 전자레인지
초콜릿, 사탕
책상, 의자
학교, 집
메모장, 노트북
스포츠카, 자전거
불꽃놀이, 폭죽
비행기, 배
에어컨, 선풍기
바다, 사막
라디오, 텔레비전
웃음, 눈물
안전, 위험
자유, 속박
빛, 어둠
희망, 절망
과거, 미래
